Round,Loss,Accuracy
0,1.562731333025239,0.4444444444444444
1,1.2113632608227116,0.4444444444444444
2,0.9539919962413107,0.4444444444444444
3,0.7951888789662934,0.4444444444444444
4,0.7119413522574007,0.4444444444444444
5,0.6718900811528818,0.7026748971193415
6,0.6521529264955397,0.7109053497942387
7,0.6410890302577639,0.6944444444444444
8,0.6335800173758335,0.7006172839506173
9,0.6274913786537137,0.712962962962963
10,0.6219447942264897,0.7211934156378601
11,0.616577997540664,0.7294238683127572
12,0.6112399970164472,0.7345679012345678
13,0.6058667949581434,0.7407407407407407
14,0.6004306728005085,0.742798353909465
15,0.594919488730206,0.7510288065843621
16,0.5893282083526098,0.7592592592592593
17,0.5836553709221515,0.7623456790123457
18,0.5779016310891967,0.7685185185185185
19,0.5720691116406339,0.7777777777777778
20,0.5661610795350185,0.7860082304526749
21,0.5601818207110546,0.7942386831275721
22,0.5541365573813762,0.8004115226337448
23,0.5480313515744933,0.815843621399177
24,0.5418729894674489,0.8240740740740741
25,0.5356687803969398,0.8343621399176955
26,0.5294263087029921,0.8353909465020576
27,0.5231531005835933,0.8374485596707819
28,0.5168563701809105,0.838477366255144
29,0.5105427281443258,0.838477366255144
30,0.5042180264280403,0.8415637860082305
31,0.4978872828374229,0.8467078189300412
32,0.4915546825445737,0.8487654320987654
33,0.48522360331388087,0.8549382716049383
34,0.47889673553866474,0.8580246913580247
35,0.4725761372927445,0.8641975308641976
36,0.4662633063193742,0.8672839506172839
37,0.45995925524733194,0.8755144032921811
38,0.4536645704097135,0.8868312757201646
39,0.4473794121518783,0.8940329218106996
40,0.4411036040883431,0.8981481481481481
41,0.4348366103051918,0.9022633744855967
42,0.4285776431690816,0.9063786008230452
43,0.4223257118459086,0.9094650205761317
44,0.41607981303174146,0.911522633744856
45,0.40983908395194724,0.9135802469135803
46,0.40360315984604705,0.9156378600823045
47,0.39737263798329187,0.9156378600823045
48,0.39114967272138096,0.918724279835391
49,0.38493863822975116,0.9228395061728395
50,0.378746789616232,0.9238683127572016
51,0.37258469168278646,0.926954732510288
52,0.3664660340795799,0.9320987654320988
53,0.3604067463987878,0.9372427983539094
54,0.35442339811566387,0.941358024691358
55,0.3485312626307722,0.9423868312757202
56,0.34274274068181265,0.9444444444444444
57,0.3370665908264131,0.948559670781893
58,0.3315080783994425,0.9516460905349794
59,0.3260696699217041,0.9526748971193416
60,0.32075197692168156,0.9557613168724279
61,0.3155544886085336,0.9557613168724279
62,0.3104761157167502,0.9557613168724279
63,0.3055154990124933,0.9578189300411523
64,0.30067112682565716,0.9557613168724279
65,0.2959414327454222,0.9557613168724279
66,0.29132478384320953,0.9557613168724279
67,0.2868194870055901,0.9557613168724279
68,0.2824237806912725,0.9567901234567902
69,0.2781358252888012,0.9567901234567902
70,0.27395371071546964,0.9567901234567902
71,0.2698754674663854,0.9567901234567902
72,0.2658990542726048,0.9567901234567902
73,0.2620223739577275,0.9578189300411523
74,0.25824329653126127,0.9578189300411523
75,0.25455963320952446,0.9567901234567902
76,0.2509691974998908,0.9578189300411523
77,0.24746977083718083,0.9578189300411523
78,0.24405910415989096,0.9578189300411523
79,0.24073498569701585,0.9588477366255144
80,0.23749517509283308,0.9588477366255144
81,0.23433746235326297,0.9588477366255144
82,0.23125965044291583,0.9588477366255144
83,0.22825956401071704,0.9598765432098766
84,0.22533507119055218,0.9609053497942387
85,0.22248404271669933,0.9609053497942387
86,0.219704410332956,0.9609053497942387
87,0.2169941276010433,0.9619341563786008
88,0.21435119314014345,0.9619341563786008
89,0.21177366234935036,0.9619341563786008
90,0.20925962126636846,0.9619341563786008
91,0.20680718244330448,0.9619341563786008
92,0.20441454054976904,0.9619341563786008
93,0.20207991715328613,0.9619341563786008
94,0.199801570186759,0.9619341563786008
95,0.19757782248760755,0.9619341563786008
96,0.1954070298888925,0.9619341563786008
97,0.19328759055945616,0.9619341563786008
98,0.19121795947562237,0.9619341563786008
99,0.18919663008050583,0.9619341563786008
100,0.1872221361968309,0.9619341563786008
101,0.18529304391628681,0.9619341563786008
102,0.18340797278315032,0.9619341563786008
103,0.18156558511108176,0.9619341563786008
