Round,Loss,Accuracy
0,0.7036262400416736,0.21389999999999998
1,0.6327957091532197,0.7876
2,0.5900180301028078,0.7876
3,0.563731692710525,0.7876
4,0.5472358488844468,0.7876
5,0.5366716586922701,0.7876
6,0.5297831295749269,0.7876
7,0.5252212399647487,0.7876
8,0.5221599464241383,0.7876
9,0.520082075333087,0.7876
10,0.5186573532349424,0.7876
11,0.5176712076366161,0.7876
12,0.5169821815365262,0.7876
13,0.5164958537601475,0.7876
14,0.5161485514986954,0.7876
15,0.5158969655437393,0.7876
16,0.5157114359548729,0.7876
17,0.5155715347176291,0.7876
18,0.5154631337911462,0.7876
19,0.5153764315530054,0.7876
20,0.5153046124552765,0.7876
21,0.5152429335782206,0.7876
22,0.5151880945091583,0.7876
23,0.5151377997156099,0.7876
24,0.5150904588239492,0.7876
25,0.5150449701974583,0.7876
26,0.5150005775570319,0.7876
27,0.5149567634297769,0.7876
28,0.514913179063667,0.7876
29,0.5148695900069191,0.7876
30,0.5148258431085367,0.7876
31,0.5147818396147693,0.7876
32,0.5147375183282017,0.7876
33,0.5146928433235939,0.7876
34,0.5146477951126449,0.7876
35,0.5146023649636396,0.7876
36,0.5145565508356478,0.7876
37,0.5145103549816376,0.7876
38,0.514463780609945,0.7876
39,0.5144168334250276,0.7876
40,0.5143695187136237,0.7876
41,0.5143218404534682,0.7876
42,0.5142738025741538,0.7876
43,0.5142254086605418,0.7876
44,0.5141766603730071,0.7876
45,0.514127559733234,0.7876
46,0.5140781072818622,0.7876
47,0.5140283024975192,0.7876
48,0.5139781449968474,0.7876
49,0.5139276327882654,0.7876
50,0.5138767641896677,0.7876
51,0.5138255365587698,0.7876
52,0.5137739467344242,0.7876
53,0.5137219914045192,0.7876
54,0.5136696670260391,0.7876
55,0.5136169694138327,0.7876
56,0.5135638940596843,0.7876
57,0.5135104359523134,0.7876
58,0.513456590672042,0.7876
59,0.5134023530246467,0.7876
60,0.5133477175056835,0.7876
61,0.5132926791505729,0.7876
62,0.513237232765558,0.7876
63,0.5131813719262971,0.7876
64,0.513125091218587,0.7876
65,0.5130683850034291,0.7876
66,0.5130112472519217,0.7876
67,0.5129536715239437,0.7876
68,0.5128956512402739,0.7876
69,0.51283718082654,0.7876
70,0.5127782534494338,0.7876
71,0.5127188628428213,0.7876
72,0.5126590022670302,0.7876
73,0.5125986654435921,0.7876
74,0.5125378446469687,0.7876
75,0.5124765340673756,0.7876
76,0.5124147268121224,0.7876
77,0.512352415702148,0.7876
78,0.5122895934513716,0.7876
79,0.5122262532305957,0.7876
80,0.5121623876626635,0.7876
81,0.512097989306304,0.7876
82,0.5120330518203281,0.7876
83,0.5119675666193207,0.7876
84,0.511901526991905,0.7876
85,0.5118349252413247,0.7876
86,0.5117677532351631,0.7876
87,0.5117000040254229,0.7876
88,0.511631669165149,0.7876
89,0.5115627411386131,0.7876
90,0.5114932117624315,0.7876
91,0.5114230729866196,0.7876
92,0.5113523168833152,0.7876
93,0.5112809353755723,0.7876
94,0.5112089202254331,0.7876
95,0.5111362627488554,0.7876
96,0.5110629546940498,0.7876
97,0.5109889878024204,0.7876
98,0.5109143534444779,0.7876
99,0.5108390428065556,0.7876
100,0.5107630466394654,0.7876
101,0.5106863571498541,0.7876
102,0.5106089648123968,0.7876
103,0.5105308610858647,0.7876
104,0.510452036506283,0.7876
105,0.5103724823881537,0.7876
106,0.510292188550807,0.7876
107,0.510211146950768,0.7876
108,0.5101293474135908,0.7876
109,0.5100467805140814,0.7876
110,0.5099634374340013,0.7876
111,0.5098793078494593,0.7876
112,0.5097943826707869,0.7876
113,0.5097086516022612,0.7876
114,0.5096221050173162,0.7876
115,0.5095347327144722,0.7876
116,0.5094465249800606,0.7876
117,0.5093574717335448,0.7876
